ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
–улет м€сной с черносливом,"202,9 к ал","13,2 г","13,7 г","7,3 г"
–улет с луком и €йцом,"255,5 к ал","17,8 г","16,5 г","9,5 г"
–улет с макаронами или €йцом,"287,1 к ал","16,2 г","13,9 г",26 г
–улет €ичный с морковью,"198,6 к ал","9,9 г","15,7 г","4,7 г"
–улетики куриные,142 к ал,"17,1 г","7,9 г","0,7 г"
"–улетики м€сные, фаршированные капустой, по-домашнему","460,4 к ал",16 г,"40,5 г","8,7 г"
"–ыба ""јппетитна€"" (рыба, запеченна€ с капустой и луком)","248,4 к ал","12,8 г",19 г,"6,9 г"
"–ыба ""—юрприз"" (окунь)","115,7 к ал","9,3 г","8,2 г","1,2 г"
–ыба (непластованна€ кусками) отварна€,"178,5 к ал","15,1 г","8,7 г","10,5 г"
–ыба (непластованна€ кусками) припущенна€,"186,2 к ал","12,9 г","12,1 г","6,9 г"
–ыба (семейства осетровых) жарена€,"242,2 к ал",16 г,"16,7 г","7,5 г"
–ыба (семейства осетровых) отварна€,"202,2 к ал","13,3 г","13,7 г",7 г
–ыба (семейства осетровых) припущенна€,"193,8 к ал","13,4 г",13 г,"6,2 г"
–ыба (филе) отварна€,165 к ал,"19,6 г",6 г,"8,8 г"
–ыба (филе) припущенна€,"145,9 к ал","13,8 г","7,5 г","6,3 г"
"–ыба в тесте, жарена€",227 к ал,"15,4 г","12,3 г","14,7 г"
–ыба в €блочном соусе,"86,7 к ал","5,9 г","4,8 г","5,2 г"
–ыба жарена€,"207,8 к ал","16,6 г","11,3 г","10,6 г"
–ыба заливна€ с гарниром,"200,7 к ал","20,1 г","11,3 г","4,9 г"
"–ыба по-волжски (рыба маринованна€, жарена€)","264,8 к ал","24,8 г","14,7 г","8,8 г"
–ыба по-русски,"190,6 к ал","14,5 г","11,6 г","7,5 г"
–ыба по-старорусски в горшочке,"152,3 к ал","4,5 г","13,4 г","3,7 г"
–ыба под майонезом,"191,8 к ал","10,6 г","16,1 г","1,1 г"
–ыба под майонезом,"258,8 к ал",12 г,"22,4 г","2,4 г"
–ыба под маринадом,"6,2 к ал","0,3 г","0,3 г","0,5 г"
–ыба припущенна€ с соусом белое вино,"172,6 к ал",15 г,"8,6 г","9,4 г"
"–ыба, жаренна€ во фритюре","245,2 к ал","12,5 г","15,7 г","14,3 г"
"–ыба, жаренна€ с луком по-ленинградски",220 к ал,12 г,"14,1 г","12,1 г"
"–ыба, запеченна€ в соусе с грибами","366,4 к ал","25,6 г","27,7 г",4 г
"–ыба, запеченна€ под молочным соусом","173,8 к ал","9,1 г","10,1 г","12,3 г"
"–ыба, запеченна€ с картофелем по-русски","193,8 к ал","13,5 г","11,9 г","8,7 г"
"–ыба, печена€ со шпиком","97,5 к ал","11,2 г","2,8 г","7,3 г"
"–ыба, тушенна€ в томате с овощами","122,7 к ал","14,4 г","3,7 г","8,5 г"
–ыбна€ запеканка,164 к ал,"9,7 г","11,8 г","4,9 г"
–ыбно-картофельные котлеты,"130,2 к ал","6,7 г","9,9 г","3,8 г"
–ыбные котлеты,"241,6 к ал","7,9 г","12,3 г","26,4 г"
–ыбные котлеты,"112,8 к ал","11,8 г","6,1 г","2,7 г"
–ыбные рулеты с овощами,"122,3 к ал","6,8 г","8,5 г","4,9 г"
–ыбный шницель,"215,2 к ал","12,8 г","15,5 г","6,5 г"
—алака в молоке,143 к ал,"6,2 г","11,8 г","3,1 г"
—алака в чесночном соусе,"32,7 к ал","2,4 г","2,1 г","1,1 г"
"—алака, запеченна€ с рисом и капустой",43 к ал,"2,6 г","1,7 г","4,6 г"
—ациви из курицы или индейки (птица в ореховом соусе - грузинское национальное блюдо),"312,8 к ал","20,4 г","19,4 г","15,1 г"
—векла тушена€,"106,3 к ал","2,7 г","5,5 г","12,2 г"
—векла тушена€ в сметане или соусе,"144,3 к ал","2,3 г","10,6 г","10,7 г"
—векла тушена€ с €блоками,"166,1 к ал",2 г,"11,8 г","13,9 г"
"—векла, тушенна€ в сметанном соусе","174,8 к ал","2,6 г","12,7 г","13,3 г"
"—векла, фаршированна€ творогом и изюмом","177,9 к ал","6,2 г","11,5 г","13,2 г"
"—вела, тушенна€ с €блоками","46,5 к ал","0,4 г",4 г,"2,5 г"
—винина на сковороде по-зауральски,"155,2 к ал",8 г,"11,5 г","5,1 г"
—винина по-китайски,"303,9 к ал","9,2 г","23,3 г","15,3 г"
—винина с капустой и клецками,139 к ал,"4,6 г","9,9 г","8,5 г"
"—винина, жаренна€ в тесте","319,1 к ал","10,9 г","25,2 г",13 г
"—винина, запеченна€ в тесте","322,9 к ал","13,1 г","27,7 г","5,6 г"
"—винина, тушенна€ с капустой","128,5 к ал",4 г,"11,7 г",2 г
—виные рулетики,"260,4 к ал","10,2 г","21,9 г","6,1 г"
—ельдерей с картофелем,"130,2 к ал","1,3 г","9,6 г","10,3 г"
—ельдерей с морковью,"163,9 к ал","1,4 г","13,8 г","9,1 г"
—ельдерей с €блоками,"131,9 к ал",2 г,"8,8 г","11,9 г"
—ельдерей со сливами,"171,8 к ал","2,9 г","9,3 г","20,4 г"
—ельдерей со стручковой фасолью,120 к ал,"1,6 г","9,6 г","7,3 г"
"—ельдерей, жаренный с €йцом","81,2 к ал","3,2 г","4,6 г","7,3 г"
—ельдь в сметане,"182,6 к ал",11 г,"12,9 г","5,9 г"
—ельдь жарена€ по-датски,"183,7 к ал","11,1 г","12,8 г","6,3 г"
—ельдь по-московски с €блоками и луком,"235,3 к ал","12,4 г","18,6 г","4,8 г"
—ельдь рублена€,"289,3 к ал","14,1 г","22,8 г","7,5 г"
—ельдь рублена€ с орехами,"387,7 к ал",20 г,"23,2 г","26,2 г"
—ельдь с гарниром,"94,4 к ал","6,7 г","3,6 г","9,5 г"
—ельдь с гарниром,"201,6 к ал","9,6 г","16,9 г",3 г
—ельдь с картофелем,"174,5 к ал","9,8 г","10,4 г","11,1 г"
"—ердце, легкие и другие субпродукты в соусе","140,3 к ал","12,2 г","7,6 г","6,1 г"
—ладка€ запеканка из фасоли,299 к ал,"11,2 г","15,5 г","30,5 г"
—ладка€ картофельна€ запеканка,"176,7 к ал","3,9 г","11,6 г",15 г
—ладка€ фасоль с грушами,"157,7 к ал","9,6 г","2,9 г","24,9 г"
—ол€нка,"34,9 к ал",2 г,"0,4 г","6,2 г"
—ол€нка грибна€,"43,5 к ал","1,3 г","3,4 г",2 г
—ол€нка из рыбы на сковороде,"135,8 к ал","14,1 г","6,6 г","5,3 г"
—ол€нка овощна€,"124,9 к ал","3,2 г","8,2 г","10,2 г"
—ол€нка по-казански (сол€нка с черносливом - татарское национальное блюдо),"58,6 к ал","2,6 г","3,4 г","4,6 г"
—ол€нка рыбна€,"96,9 к ал","13,3 г","3,8 г","2,5 г"
—ол€нка сборна€ м€сна€,"68,7 к ал","5,2 г","4,6 г","1,7 г"
—ол€нка сборна€ м€сна€ на сковороде,"152,5 к ал",9 г,"10,5 г","5,8 г"
—паржа в соусе,70 к ал,"2,6 г","4,8 г","4,4 г"
—паржа с сыром,"175,7 к ал","5,5 г","16,1 г","2,3 г"
—паржа со сливочным маслом,"46,3 к ал","1,8 г",3 г,"3,2 г"
—паржева€ фасоль в €йце,"256,1 к ал",6 г,"19,1 г",16 г
—таринна€ запеканка из лосос€,"104,2 к ал","10,4 г","3,1 г","9,3 г"
—троганина из рыбы (национальное блюдо народов —евера),"172,6 к ал","34,3 г","3,9 г",0 г
—тручкова€ фасоль с творогом,"119,1 к ал","5,7 г","9,6 г","2,6 г"
—тручкова€ фасоль с €ичницей,"109,6 к ал","4,2 г","8,7 г",4 г
—тручкова€ фасоль тушена€,"136,6 к ал","3,2 г","11,5 г","5,3 г"
"—удак в соусе ""–окфор""","128,5 к ал","7,7 г","10,2 г","1,7 г"
—удак или щука фаршированные (целиком),"153,2 к ал","11,1 г","6,8 г","12,7 г"
"—удак, запеченный с картофелем","88,1 к ал","5,6 г","4,9 г","5,9 г"
“ворожники вареные из картофел€,"107,2 к ал","5,8 г","4,2 г","12,3 г"
“ельное из рыбы,"194,6 к ал","11,4 г","10,9 г","13,5 г"
“ефтели,"158,5 к ал","9,8 г",9 г,"10,1 г"
“ефтели (1-й вариант),"315,9 к ал","18,7 г","22,1 г","11,2 г"
“ефтели (2-ой вариант),"304,5 к ал","17,5 г","21,1 г","11,9 г"
“ефтели из м€са кролика,"105,9 к ал","7,1 г","5,9 г","6,5 г"
“ефтели рыбные,"303,5 к ал","12,6 г","7,9 г","48,6 г"
“реска с горчичным соусом,"127,5 к ал","8,1 г","8,5 г","4,9 г"
“улма (голубцы - татарское национальное блюдо),"181,8 к ал","9,3 г",13 г,"7,4 г"
“ушена€ морковь со стручковой фасолью,"38,5 к ал","2,1 г","1,7 г","3,9 г"
“ушена€ ставрида,"70,3 к ал",6 г,"3,9 г","3,1 г"
“ушенна€ кольраби,74 к ал,"4,1 г","5,1 г","3,3 г"
“ушеное филе хека,137 к ал,"7,7 г","11,1 г","1,7 г"
“ушеный кролик,"166,9 к ал","10,4 г","12,9 г","2,4 г"
“ушеный стручковый перец,"142,9 к ал","1,3 г","13,3 г","4,7 г"
“ыква в сладком маринаде,"90,7 к ал","0,4 г","0,04 г","23,7 г"
“ыква отварна€,"116,9 к ал","2,6 г","7,9 г","9,4 г"
"“ыква, кабачки, баклажаны жареные","89,7 к ал","2,1 г",6 г,"7,2 г"
”ральские сардельки,"295,2 к ал","10,2 г","26,7 г","3,8 г"
”тка тушена€ с грибами,170 к ал,"5,8 г",16 г,"0,7 г"
"”тка, фаршированна€ картофелем и черносливом",340 к ал,"10,5 г","26,1 г","16,9 г"
"‘альшивые ""куриные"" котлеты","157,4 к ал","10,5 г","4,6 г","19,8 г"
‘альшивый за€ц,"209,5 к ал",14 г,"16,8 г","0,7 г"
‘аршированна€ кольраби,"140,6 к ал","9,6 г","10,3 г","2,6 г"
‘аршированные огурцы,102 к ал,"1,6 г","9,3 г","3,2 г"
‘аршированный лук,"152,6 к ал","5,6 г","11,2 г","7,8 г"
‘аршированный чернослив,"174,5 к ал","5,9 г",1 г,38 г
‘асоль овощна€ отварна€,"24,7 к ал","2,492 г","0,305 г","2,918 г"
‘асоль с огурцами,"107,2 к ал","4,8 г","5,5 г","10,2 г"
‘асоль с черносливом,"316,5 к ал","8,7 г","12,8 г","44,4 г"
‘асоль с €блоками,"209,1 к ал","10,2 г","3,4 г","36,8 г"
‘иле,"374,5 к ал","33,2 г","26,8 г","0,04 г"
‘иле из кур или дичи фаршированное,"335,4 к ал",17 г,"27,1 г","6,1 г"
"‘иле индейки, фаршированное €блоками и черносливом","255,5 к ал","12,2 г","14,9 г","19,4 г"
"‘иле морского гребешка, жаренное во фритюре","251,5 к ал","22,1 г","13,2 г","11,7 г"
‘иле птицы или дичи под майонезом,"400,2 к ал","16,7 г","33,3 г","9,1 г"
‘иле с помидорами и соусом,"235,1 к ал","12,7 г","16,7 г","9,1 г"
‘иле с соусом,288 к ал,"20,2 г","19,9 г","7,5 г"
‘иле скумбрии по-гречески,"78,4 к ал","4,6 г","4,2 г","5,9 г"
‘оршмак,"245,3 к ал","6,9 г","21,7 г",6 г
‘оршмак картофельный с сельдью,"255,6 к ал","8,7 г","21,1 г","8,4 г"
‘рикадельки м€сные,263 к ал,"28,7 г",16 г,1 г
‘рикадельки рыбные,"152,6 к ал","21,6 г","6,7 г","1,6 г"
’рюшка из картофел€,"130,2 к ал","4,8 г","9,3 г","7,2 г"
÷ветна€ капуста отварна€,"178,8 к ал","1,3 г","18,3 г","2,3 г"
÷ветна€ капуста под голландским соусом,"52,4 к ал","2,3 г","3,2 г","3,8 г"
÷ветна€ капуста под соусом,"123,2 к ал","2,3 г","10,9 г","4,2 г"
÷ветна€ капуста с морковью,"72,3 к ал","1,5 г","5,9 г","3,5 г"
÷ветна€ капуста с морковью и сельдереем,"49,1 к ал","1,2 г","3,1 г","4,4 г"
÷ветна€ капуста с помидорами,"46,3 к ал","2,2 г","2,5 г","3,9 г"
÷епелинай с м€сом,"41,3 к ал","1,2 г","2,9 г","2,8 г"
÷еппелины (Ћитовска€ кухн€),"116,8 к ал","4,1 г","8,9 г","5,4 г"
"÷имес ""≈врейский"" (тушеные овощи)","135,7 к ал","3,1 г","6,3 г","17,7 г"
÷уккини в сырной панировке,"100,9 к ал","6,2 г","4,8 г","8,9 г"
÷ыпленок с пр€ност€ми,"167,3 к ал",15 г,"11,3 г","1,6 г"
÷ыпл€та табака (грузинское национальное блюдо),"350,5 к ал","29,2 г","24,8 г","2,8 г"
"÷ыпл€та, тушенные с морковью и репой","250,8 к ал","11,8 г","19,5 г","7,4 г"
„ахохбили из курицы,"119,7 к ал","6,9 г","8,9 г","3,3 г"
„ебуреки,"279,3 к ал","12,5 г","15,6 г","23,6 г"
„олнт-фиш,"142,7 к ал",8 г,"11,1 г",3 г
"Ўашлык из баранины, гов€дины или свинины","154,5 к ал","11,3 г","10,5 г",4 г
Ўашлык из гов€дины,"465,5 к ал","22,1 г","40,8 г","2,7 г"
Ўницель,"456,2 к ал","16,5 г","39,2 г","9,9 г"
Ўницель из капусты,"149,2 к ал","3,3 г","10,9 г","10,1 г"
Ўницель из разных овощей в молочном соусе,180 к ал,"4,2 г","12,7 г",13 г
Ўницель натуральный рубленый,"539,6 к ал","20,3 г","47,7 г","7,9 г"
Ўницель рыбный натуральный,"203,3 к ал","14,6 г","11,7 г","10,7 г"
Ўурпа,"44,3 к ал","2,2 г","2,4 г","3,7 г"
Ўурпа в горшочке (дагестанское национальное блюдо),"76,9 к ал","5,2 г","3,5 г","6,6 г"
Ёскалоп,"486,6 к ал",19 г,"42,8 г","6,8 г"
"язык гов€жий ""по-кавказски""","182,2 к ал","9,5 г","12,3 г","8,9 г"
язык отварной в соусе,"206,7 к ал","19,1 г","14,1 г","0,9 г"
яичница глазунь€ (натуральна€),"240,8 к ал","15,9 г","19,3 г",1 г
яичница глазунь€ с м€сными продуктами,294 к ал,"18,6 г","24,1 г","0,8 г"
яичница глазунь€ с овощами или грибами,"257,1 к ал","18,2 г","14,4 г","14,6 г"
яичница с курицей и грибами,"210,4 к ал","8,6 г","18,1 г","3,4 г"
яйца под майонезом с гарниром,251 к ал,"7,2 г","22,8 г","4,4 г"
яйца фаршированные сельдью и луком,"160,4 к ал","7,3 г","12,6 г","4,7 г"
"яйца, фаршированные креветками","226,6 к ал","19,1 г","15,9 г","1,8 г"
